Living Wage of 1 adult with 0 children,,,,,,,,,,,
,Wage,,,Expenses,,,,,,,
Minnesota,$14.92,$6.13,$10.00,"$3,246","$2,696","$8,608","$5,149","$1,956","$2,835","$24,488","$6,509"
Mississippi,$13.43,$6.13,$7.25,"$3,177","$2,724","$6,941","$5,113","$1,811","$2,875","$22,642","$5,294"
Missouri,$13.72,$6.13,$9.42,"$3,246","$2,681","$6,976","$5,149","$1,956","$2,835","$22,842","$5,693"
Montana,$13.94,$6.13,$8.65,"$3,792","$2,450","$7,209","$4,900","$1,811","$2,794","$22,957","$6,047"
Nebraska,$13.57,$6.13,$9.00,"$3,246","$2,783","$6,913","$5,149","$1,956","$2,835","$22,881","$5,353"
Nevada,$13.67,$6.13,$8.00,"$3,792","$2,614","$8,563","$4,900","$1,811","$2,794","$24,474","$3,968"
New Hampshire,$14.47,$6.13,$7.25,"$3,690","$2,935","$10,155","$4,332","$1,702","$3,078","$25,892","$4,197"
New Jersey,$16.20,$6.13,$11.00,"$3,690","$2,864","$12,740","$4,332","$1,702","$3,078","$28,406","$5,290"
New Mexico,$13.97,$6.13,$9.00,"$3,792","$2,982","$7,300","$4,900","$1,811","$2,794","$23,579","$5,477"
New York,$18.62,$6.13,$11.80,"$3,690","$2,935","$15,084","$4,332","$1,702","$3,078","$30,820","$7,899"
North Carolina,$14.72,$6.13,$7.25,"$3,177","$2,728","$8,865","$5,113","$1,811","$2,875","$24,570","$6,047"
North Dakota,$13.08,$6.13,$7.25,"$3,246","$2,632","$7,266","$5,149","$1,956","$2,835","$23,083","$4,128"
Ohio,$13.16,$6.13,$8.70,"$3,246","$2,720","$6,779","$5,149","$1,956","$2,835","$22,684","$4,685"
Oklahoma,$13.53,$6.13,$7.25,"$3,177","$2,646","$7,109","$5,113","$1,811","$2,875","$22,731","$5,401"
Oregon,$16.85,$6.13,$12.00,"$3,792","$2,395","$11,314","$4,900","$1,811","$2,794","$27,006","$8,044"
Pennsylvania,$13.39,$6.13,$7.25,"$3,690","$2,729","$8,443","$4,332","$1,702","$3,078","$23,975","$3,887"
Rhode Island,$14.79,$6.13,$10.50,"$3,690","$2,879","$9,638","$4,332","$1,702","$3,078","$25,318","$5,445"
South Carolina,$14.58,$6.13,$7.25,"$3,177","$2,662","$8,336","$5,113","$1,811","$2,875","$23,974","$6,354"
South Dakota,$12.61,$6.13,$9.30,"$3,246","$2,831","$6,551","$5,149","$1,956","$2,835","$22,566","$3,658"
Tennessee,$13.25,$6.13,$7.25,"$3,177","$2,813","$7,928","$5,113","$1,811","$2,875","$23,718","$3,845"
Texas,$14.01,$6.13,$7.25,"$3,177","$2,760","$9,333","$5,113","$1,811","$2,875","$25,070","$4,064"
Utah,$14.52,$6.13,$7.25,"$3,792","$2,694","$8,495","$4,900","$1,811","$2,794","$24,486","$5,725"
Vermont,$14.93,$6.13,$10.96,"$3,690","$2,760","$10,061","$4,332","$1,702","$3,078","$25,622","$5,435"
Virginia,$16.61,$6.13,$7.25,"$3,177","$2,866","$12,162","$5,113","$1,811","$2,875","$28,005","$6,548"
Washington,$16.34,$6.13,$13.50,"$3,792","$2,206","$13,739","$4,900","$1,811","$2,794","$29,242","$4,741"
West Virginia,$13.38,$6.13,$8.75,"$3,177","$2,662","$7,062","$5,113","$1,811","$2,875","$22,701","$5,136"
Wisconsin,$14.02,$6.13,$7.25,"$3,246","$2,754","$7,325","$5,149","$1,956","$2,835","$23,264","$5,896"
Wyoming,$13.91,$6.13,$7.25,"$3,792","$2,570","$7,732","$4,900","$1,811","$2,794","$23,599","$3,826"
